,Species,Continent_of_Origin,Country_of_Origin,Harvest_Year,Expiration,Variety,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Moisture,Quakers,Category_One_Defects,Category_Two_Defects
432,Arabica,North America,Mexico,2012-01-01,2013-07-11,Caturra,Blue-Green,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,0.12,0,0,0
433,Arabica,North America,Guatemala,2012-01-01,2013-07-09,Bourbon,Green,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,0.11,0,0,9
434,Arabica,South America,Brazil,2012-01-01,2013-02-22,Yellow Bourbon,Blue-Green,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,0.11,0,0,1
435,Arabica,South America,Colombia,2012-01-01,2013-02-21,Caturra,Green,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,10.0,0.12,0,0,1
436,Arabica,South America,Colombia,2012-01-01,2013-02-08,Caturra,Green,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,10.0,0.11,0,0,0
440,Arabica,South America,Brazil,2017-01-01,2018-10-20,Bourbon,Green,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,0.11,0,0,4
441,Arabica,North America,Guatemala,2017-01-01,2018-08-24,Bourbon,Green,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,0.1,0,0,1
442,Arabica,Africa,Tanzania,2016-01-01,2018-06-20,Bourbon,Green,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10.0,10.0,10.0,0.12,0,0,3
445,Arabica,North America,Guatemala,2016-01-01,2017-05-23,Caturra,Green,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,0.11,2,2,3
446,Arabica,North America,Honduras,2016-01-01,2017-05-02,Catuai,Blue-Green,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,0.11,1,0,1
447,Arabica,Asia,China,2015-01-01,2017-04-06,Catimor,Green,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10.0,10.0,10.0,0.11,0,0,0
448,Arabica,Asia,China,2015-01-01,2017-04-05,Catimor,Green,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10.0,10.0,10.0,0.1,0,0,3
449,Arabica,North America,El Salvador,2016-01-01,2017-03-29,Bourbon,Green,Washed / Wet,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,0.0,0,0,0
450,Arabica,North America,Guatemala,2015-01-01,2016-10-28,Bourbon,Green,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,0.11,0,0,1
451,Arabica,North America,Guatemala,2015-01-01,2016-09-28,Bourbon,Green,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,0.12,0,0,3
452,Arabica,Africa,Kenya,2014-01-01,2016-07-02,SL28,Bluish-Green,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,0.1,0,0,1
454,Arabica,Africa,Tanzania,2014-01-01,2015-12-12,Other,Bluish-Green,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10.0,10.0,10.0,0.13,0,0,6
456,Arabica,Africa,Uganda,2014-01-01,2015-10-28,SL14,Bluish-Green,Washed / Wet,8.0,7.67,7.5,7.42,7.33,7.58,10.0,10.0,10.0,0.1,0,0,0
458,Arabica,North America,Honduras,2013-01-01,2015-04-12,Catuai,Green,Natural / Dry,7.5,7.5,7.5,7.67,7.67,7.67,10.0,10.0,10.0,0.1,0,0,5
459,Arabica,North America,Honduras,2014-01-01,2015-04-08,Caturra,Green,Natural / Dry,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,0.11,0,0,3
460,Arabica,North America,Guatemala,2014-01-01,2015-03-27,Catuai,Green,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,10.0,10.0,10.0,0.09,0,0,1
461,Arabica,North America,United States,2013-01-01,2015-02-07,Hawaiian Kona,Bluish-Green,Natural / Dry,7.5,7.5,7.58,7.42,7.92,7.67,10.0,10.0,10.0,0.11,0,0,0
462,Arabica,Africa,Tanzania,2014-01-01,2015-01-31,Bourbon,Green,Washed / Wet,7.58,7.5,7.58,7.75,7.58,7.58,10.0,10.0,10.0,0.12,0,0,1
463,Arabica,North America,Guatemala,2013-01-01,2014-04-26,Bourbon,Green,Washed / Wet,7.67,7.83,7.33,7.67,7.5,7.67,10.0,10.0,10.0,0.11,0,0,2
464,Arabica,North America,Mexico,2013-01-01,2014-03-29,Typica,Green,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,0.11,0,0,2
467,Arabica,South America,Colombia,2012-01-01,2013-08-31,Caturra,Green,Washed / Wet,7.67,7.5,7.5,7.5,7.58,8.17,10.0,10.0,10.0,0.11,0,1,2
468,Arabica,North America,Mexico,2012-01-01,2013-07-11,Typica,Green,Washed / Wet,7.75,7.5,7.42,7.75,7.58,7.58,10.0,10.0,10.0,0.13,0,0,5
469,Arabica,South America,Colombia,2012-01-01,2013-06-08,Caturra,Blue-Green,Washed / Wet,7.58,7.67,7.5,7.58,7.67,7.67,10.0,10.0,10.0,0.11,0,0,0
471,Arabica,South America,Brazil,2012-01-01,2013-03-19,Mundo Novo,Green,Natural / Dry,7.75,7.67,7.58,7.5,7.58,7.58,10.0,10.0,10.0,0.12,0,0,1
472,Arabica,South America,Brazil,2012-01-01,2013-02-16,Mundo Novo,Green,Natural / Dry,7.92,7.58,7.5,7.58,7.42,7.5,10.0,10.0,10.0,0.11,0,0,4
473,Arabica,North America,Guatemala,2012-01-01,2013-01-31,Bourbon,Green,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,0.0,0,0,10
474,Arabica,South America,Brazil,2011-01-01,2012-12-02,Mundo Novo,Blue-Green,Semi-washed / Semi-pulped,7.75,7.5,7.58,7.5,7.75,7.5,10.0,10.0,10.0,0.12,0,0,3
478,Arabica,South America,Colombia,2016-01-01,2018-02-20,Caturra,Green,Washed / Wet,7.58,7.67,7.33,7.67,7.75,7.58,10.0,10.0,10.0,0.0,1,0,4
479,Arabica,South America,Colombia,2016-01-01,2018-01-10,Caturra,Green,Washed / Wet,7.75,7.5,7.5,7.42,8.0,7.75,10.0,10.0,10.0,0.0,2,1,5
480,Arabica,South America,Brazil,2015-01-01,2017-04-25,Yellow Bourbon,Bluish-Green,Pulped natural / honey,7.58,7.58,7.58,7.5,7.67,7.58,10.0,10.0,10.0,0.11,2,0,2
481,Arabica,South America,Brazil,2015-01-01,2016-10-07,Yellow Bourbon,Green,Natural / Dry,7.33,7.67,7.67,7.33,7.75,7.42,10.0,10.0,10.0,0.0,0,0,3
482,Arabica,Asia,Taiwan,2015-01-01,2016-05-18,Typica,Green,Natural / Dry,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10.0,10.0,0.0,0,0,0
483,Arabica,South America,Brazil,2015-01-01,2016-04-19,Mundo Novo,Green,Natural / Dry,7.42,7.67,7.58,7.5,7.75,7.67,10.0,10.0,10.0,0.11,0,0,13
484,Arabica,South America,Brazil,2014-01-01,2015-10-16,Bourbon,Green,Washed / Wet,7.58,7.83,7.67,7.42,7.42,7.5,10.0,10.0,10.0,0.0,0,0,1
485,Arabica,North America,Costa Rica,2014-01-01,2015-07-15,Catuai,Green,Washed / Wet,7.83,7.33,7.5,7.67,7.58,7.67,10.0,10.0,10.0,0.1,0,0,3
486,Arabica,North America,United States,2013-01-01,2015-02-19,Hawaiian Kona,Bluish-Green,Natural / Dry,7.33,7.75,7.58,7.33,7.83,7.67,10.0,10.0,10.0,0.12,0,0,8
488,Arabica,North America,United States,2012-01-01,2014-03-08,Hawaiian Kona,Bluish-Green,Natural / Dry,7.83,7.83,7.33,7.17,7.75,7.67,10.0,10.0,10.0,0.1,0,0,0
491,Arabica,North America,United States,2012-01-01,2013-02-22,Hawaiian Kona,Green,Washed / Wet,7.33,7.58,7.58,7.92,7.67,7.58,10.0,10.0,10.0,0.12,0,0,0
496,Arabica,South America,Brazil,2017-01-01,2018-10-20,Bourbon,Green,Natural / Dry,7.58,7.5,7.5,7.75,7.67,7.5,10.0,10.0,10.0,0.0,0,0,4
497,Arabica,South America,Brazil,2016-01-01,2017-08-16,Bourbon,Green,Natural / Dry,7.5,7.58,7.58,7.67,7.58,7.5,10.0,10.0,10.0,0.11,3,0,5
498,Arabica,South America,Brazil,2016-01-01,2017-08-16,Bourbon,Bluish-Green,Natural / Dry,7.5,7.67,7.58,7.67,7.58,7.42,10.0,10.0,10.0,0.11,2,0,3
499,Arabica,Africa,Uganda,2015-01-01,2017-07-18,Bourbon,Green,Washed / Wet,7.67,7.58,7.42,7.42,7.83,7.5,10.0,10.0,10.0,0.12,0,0,6
500,Arabica,Africa,Uganda,2015-01-01,2017-07-18,Bourbon,Green,Natural / Dry,7.67,7.67,7.5,7.58,7.42,7.5,10.0,10.0,10.0,0.12,5,0,8
502,Arabica,Asia,Vietnam,2014-01-01,2016-12-27,Caturra,Green,Other,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10.0,10.0,0.0,0,0,0
503,Arabica,North America,Guatemala,2015-01-01,2016-07-07,Catuai,Green,Washed / Wet,7.67,7.75,7.33,7.92,7.42,7.5,10.0,10.0,10.0,0.11,0,0,3
504,Arabica,North America,Guatemala,2015-01-01,2016-06-04,Catuai,Green,Washed / Wet,7.75,7.67,7.33,7.75,7.5,7.42,10.0,10.0,10.0,0.11,0,0,2
505,Arabica,North America,Guatemala,2015-01-01,2016-04-22,Bourbon,Green,Washed / Wet,7.83,7.67,7.25,7.67,7.75,7.5,10.0,10.0,10.0,0.11,0,0,2
506,Arabica,South America,Brazil,2014-01-01,2016-02-13,Catuai,Green,Natural / Dry,7.67,7.67,7.67,7.5,7.42,7.5,10.0,10.0,10.0,0.0,0,0,0
507,Arabica,Asia,Taiwan,2014-01-01,2015-11-23,Typica,Green,Washed / Wet,7.92,7.92,7.83,7.58,7.33,7.25,10.0,10.0,10.0,0.08,0,0,0
508,Arabica,Africa,Uganda,2013-01-01,2015-06-26,SL14,Green,Washed / Wet,7.83,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,0.12,0,0,0
509,Arabica,North America,United States,2013-01-01,2015-06-09,Other,Bluish-Green,Washed / Wet,7.67,7.5,7.67,7.83,7.75,7.83,10.0,10.0,9.33,0.0,0,0,0
510,Arabica,North America,Guatemala,2014-01-01,2015-03-07,Bourbon,Green,Washed / Wet,7.67,7.67,7.42,7.83,7.5,7.5,10.0,10.0,10.0,0.1,0,1,0
511,Arabica,North America,Costa Rica,2013-01-01,2015-02-14,Catuai,Green,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,0.11,0,0,3
512,Arabica,South America,Brazil,2013-01-01,2015-01-02,Yellow Bourbon,Bluish-Green,Semi-washed / Semi-pulped,7.75,7.58,7.42,7.67,7.42,7.67,10.0,10.0,10.0,0.12,0,0,4
513,Arabica,South America,Colombia,2013-01-01,2014-11-07,Caturra,Green,Washed / Wet,7.75,7.42,7.33,7.5,7.58,7.17,10.0,10.0,10.0,0.11,0,1,1
514,Arabica,South America,Colombia,2013-01-01,2014-08-02,Caturra,Green,Washed / Wet,7.83,7.5,7.58,7.33,7.5,7.67,10.0,10.0,10.0,0.0,0,0,0
515,Arabica,South America,Colombia,2013-01-01,2014-03-15,Caturra,Green,Natural / Dry,7.33,7.67,7.75,7.42,7.75,7.58,10.0,10.0,10.0,0.11,0,0,1
516,Arabica,South America,Colombia,2013-01-01,2014-04-26,Caturra,Green,Natural / Dry,7.58,7.75,7.42,7.67,7.58,7.42,10.0,10.0,10.0,0.0,0,0,2
517,Arabica,South America,Colombia,2012-01-01,2013-10-23,Caturra,Green,Washed / Wet,7.5,7.5,7.42,7.58,7.75,7.58,10.0,10.0,10.0,0.11,0,1,2
518,Arabica,North America,Mexico,2012-01-01,2013-07-26,Typica,Green,Washed / Wet,7.67,7.58,7.42,7.5,7.67,7.58,10.0,10.0,10.0,0.11,0,0,20
519,Arabica,North America,Mexico,2012-01-01,2013-07-26,Typica,Green,Semi-washed / Semi-pulped,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10.0,10.0,0.11,0,0,7
520,Arabica,North America,Mexico,2012-01-01,2013-07-11,Bourbon,Green,Washed / Wet,7.5,7.67,7.5,7.5,7.58,7.58,10.0,10.0,10.0,0.11,0,5,8
522,Arabica,South America,Colombia,2012-01-01,2013-05-11,Caturra,Green,Washed / Wet,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10.0,10.0,0.0,0,0,4
523,Arabica,South America,Colombia,2012-01-01,2013-06-08,Caturra,Green,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.42,10.0,10.0,10.0,0.11,0,0,0
524,Arabica,North America,Guatemala,2012-01-01,2013-04-27,Bourbon,Green,Washed / Wet,7.5,7.67,7.5,7.67,7.5,7.83,10.0,10.0,10.0,0.1,0,0,2
525,Arabica,South America,Colombia,2011-01-01,2012-12-01,Caturra,Bluish-Green,Washed / Wet,7.67,7.67,7.58,7.5,7.67,7.42,10.0,10.0,10.0,0.12,0,0,0
533,Arabica,South America,Brazil,2017-01-01,2018-10-20,Bourbon,Green,Natural / Dry,7.67,7.58,7.5,7.58,7.58,7.5,10.0,10.0,10.0,0.0,0,0,0
534,Arabica,North America,El Salvador,2017-01-01,2018-08-28,Bourbon,Green,Washed / Wet,7.5,7.5,7.75,7.58,7.92,7.83,10.0,10.0,9.33,0.0,0,0,1
535,Arabica,South America,Colombia,2017-01-01,2018-07-07,Caturra,Green,Washed / Wet,7.58,7.67,7.5,7.33,7.67,7.58,10.0,10.0,10.0,0.11,0,0,1
536,Arabica,Asia,Taiwan,2016-01-01,2017-06-28,Caturra,Green,Natural / Dry,7.17,7.83,7.25,7.67,7.67,7.58,10.0,10.0,10.0,0.09,0,31,0
537,Arabica,Africa,Ethiopia,2016-01-01,2017-02-25,Ethiopian Heirlooms,Bluish-Green,Washed / Wet,7.58,7.58,7.5,7.5,7.58,7.58,10.0,10.0,10.0,0.0,0,1,20
538,Arabica,Asia,Taiwan,2014-01-01,2016-09-06,Typica,Green,Natural / Dry,7.5,7.58,7.67,7.33,7.5,7.75,10.0,10.0,10.0,0.0,0,0,9
539,Arabica,Asia,Philippines,2015-01-01,2016-07-30,Other,Blue-Green,Washed / Wet,7.58,7.58,7.67,7.58,7.5,7.5,10.0,10.0,10.0,0.11,0,0,1
540,Arabica,Asia,Philippines,2014-01-01,2016-07-20,Other,Bluish-Green,Washed / Wet,8.08,7.5,7.67,7.42,7.33,7.5,10.0,10.0,10.0,0.0,0,0,0
541,Arabica,North America,Mexico,2015-01-01,2016-07-13,Typica,Blue-Green,Natural / Dry,7.83,7.67,7.25,7.58,7.5,7.5,10.0,10.0,10.0,0.13,0,0,3
542,Arabica,North America,Mexico,2015-01-01,2016-06-10,Bourbon,Bluish-Green,Washed / Wet,7.75,7.67,7.42,7.42,7.75,7.5,10.0,10.0,10.0,0.12,0,2,8
543,Arabica,South America,Brazil,2014-01-01,2015-08-15,Moka Peaberry,Green,Semi-washed / Semi-pulped,7.08,7.5,7.5,7.83,7.75,7.67,10.0,10.0,10.0,0.11,0,0,16
544,Arabica,Africa,Uganda,2013-01-01,2015-06-27,SL14,Green,Washed / Wet,8.0,7.5,7.5,7.58,7.33,7.42,10.0,10.0,10.0,0.12,0,0,0
545,Arabica,Africa,Uganda,2013-01-01,2015-06-27,SL14,Green,Washed / Wet,7.75,7.58,7.58,7.5,7.5,7.5,10.0,10.0,10.0,0.12,0,0,4
546,Arabica,North America,Guatemala,2014-01-01,2015-04-03,Bourbon,Green,Washed / Wet,7.75,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,0.1,0,0,1
547,Arabica,North America,Guatemala,2014-01-01,2015-03-07,Caturra,Green,Natural / Dry,7.67,7.83,7.42,7.5,7.33,7.5,10.0,10.0,10.0,0.1,0,0,2
549,Arabica,South America,Colombia,2013-01-01,2014-09-13,Caturra,Green,Washed / Wet,7.58,7.5,7.75,7.33,7.58,7.58,10.0,10.0,10.0,0.11,0,0,2
550,Arabica,South America,Colombia,2013-01-01,2014-03-20,Caturra,Bluish-Green,Natural / Dry,7.75,7.5,7.25,7.5,7.75,7.5,10.0,10.0,10.0,0.0,0,0,0
551,Arabica,North America,Guatemala,2013-01-01,2014-03-11,Bourbon,Green,Washed / Wet,7.83,7.75,7.25,7.92,7.5,7.17,10.0,10.0,10.0,0.11,0,0,2
552,Arabica,South America,Colombia,2013-01-01,2014-01-22,Other,Green,Washed / Wet,7.83,7.67,7.42,7.42,7.5,7.58,10.0,10.0,10.0,0.11,0,3,5
553,Arabica,North America,Mexico,2012-01-01,2013-07-26,Typica,Green,Natural / Dry,7.58,7.58,7.33,7.25,7.58,7.75,10.0,10.0,10.0,0.1,0,0,4
555,Arabica,North America,Mexico,2012-01-01,2013-03-05,Typica,Green,Washed / Wet,8.0,7.92,7.67,7.17,7.67,7.42,9.33,10.0,10.0,0.14,0,1,4
556,Arabica,North America,United States,2012-01-01,2013-02-22,Hawaiian Kona,Green,Washed / Wet,7.5,7.5,7.5,7.42,7.67,7.83,10.0,10.0,10.0,0.1,0,0,0
559,Arabica,Africa,Kenya,2017-01-01,2018-10-13,SL28,Green,Washed / Wet,7.75,7.58,7.42,7.58,7.5,7.5,10.0,10.0,10.0,0.1,0,0,3
560,Arabica,North America,Guatemala,2017-01-01,2018-06-22,Bourbon,Green,Washed / Wet,7.5,7.58,7.33,7.67,7.58,7.58,10.0,10.0,10.0,0.11,1,1,2
561,Arabica,South America,Brazil,2015-01-01,2018-02-06,Yellow Bourbon,Bluish-Green,Pulped natural / honey,7.67,7.58,7.58,7.5,7.5,7.42,10.0,10.0,10.0,0.11,2,0,2
562,Arabica,North America,El Salvador,2016-01-01,2017-04-08,Pacas,Green,Washed / Wet,7.33,7.67,7.67,7.83,7.33,7.67,10.0,10.0,10.0,0.0,0,0,4
563,Arabica,Africa,Rwanda,2015-01-01,2017-03-25,Bourbon,Bluish-Green,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,0.11,0,0,0
564,Arabica,Asia,Vietnam,2014-01-01,2017-01-18,Other,Green,Other,7.25,7.58,7.5,7.42,7.75,7.42,10.0,10.0,10.0,0.11,0,11,0
565,Arabica,North America,Guatemala,2015-01-01,2016-07-19,Bourbon,Green,Washed / Wet,7.58,7.58,7.33,7.67,7.67,7.5,10.0,10.0,10.0,0.11,0,0,2
566,Arabica,South America,Brazil,2015-01-01,2016-05-25,Catuai,Green,Natural / Dry,7.58,7.83,7.33,7.67,7.42,7.33,10.0,10.0,10.0,0.12,0,2,6
569,Arabica,North America,Guatemala,2014-01-01,2015-03-24,Bourbon,Green,Washed / Wet,7.67,7.67,7.75,7.67,7.42,7.17,10.0,10.0,10.0,0.1,0,0,4
570,Arabica,South America,Colombia,2013-01-01,2015-01-20,Typica,Green,Natural / Dry,7.5,7.42,7.58,7.5,7.58,7.58,10.0,10.0,10.0,0.0,0,4,4
571,Arabica,South America,Colombia,2013-01-01,2014-05-10,Caturra,Green,Washed / Wet,7.83,7.5,7.5,7.42,7.5,7.5,10.0,10.0,10.0,0.11,0,0,3
572,Arabica,Africa,Tanzania,2012-01-01,2014-04-19,Arusha,Green,Washed / Wet,7.67,7.5,7.33,7.25,7.58,7.75,10.0,10.0,10.0,0.11,0,0,5
573,Arabica,North America,Mexico,2012-01-01,2013-08-30,Caturra,Green,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.5,10.0,10.0,10.0,0.12,0,2,10
574,Arabica,North America,Mexico,2012-01-01,2013-07-11,Bourbon,Blue-Green,Washed / Wet,7.67,7.58,7.42,7.75,7.42,7.42,10.0,10.0,10.0,0.12,0,0,7
575,Arabica,North America,Guatemala,2012-01-01,2013-07-09,Bourbon,Green,Washed / Wet,7.67,7.67,7.33,7.5,7.33,7.92,10.0,10.0,10.0,0.11,0,0,10
579,Arabica,North America,Guatemala,2017-01-01,2018-10-17,Caturra,Green,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.42,10.0,10.0,10.0,0.11,0,0,8
580,Arabica,North America,Guatemala,2017-01-01,2018-09-19,Bourbon,Green,Washed / Wet,7.5,7.67,7.17,7.67,7.67,7.58,10.0,10.0,10.0,0.11,0,0,4
581,Arabica,North America,Guatemala,2017-01-01,2018-09-08,Bourbon,Green,Washed / Wet,7.5,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,0.1,0,0,1
582,Arabica,North America,Guatemala,2017-01-01,2018-08-22,Bourbon,Green,Washed / Wet,7.42,7.58,7.42,7.67,7.5,7.5,10.0,10.0,10.0,0.1,0,0,1
583,Arabica,Asia,Indonesia,2017-01-01,2018-08-08,Sulawesi,Blue-Green,Other,7.5,7.58,7.42,7.58,7.58,7.5,10.0,10.0,10.0,0.12,0,0,15
584,Arabica,North America,Guatemala,2017-01-01,2018-06-01,Bourbon,Green,Washed / Wet,7.58,7.58,7.33,7.58,7.33,7.67,10.0,10.0,10.0,0.12,0,0,0
585,Arabica,Asia,Taiwan,2016-01-01,2018-06-01,Yellow Bourbon,Green,Natural / Dry,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10.0,10.0,0.0,0,0,0
587,Arabica,North America,Costa Rica,2016-01-01,2018-04-28,Caturra,Bluish-Green,Washed / Wet,7.58,7.5,7.42,7.67,7.42,7.5,10.0,10.0,10.0,0.09,0,0,1
588,Arabica,North America,Honduras,2017-01-01,2018-04-06,Caturra,Green,Natural / Dry,7.58,7.5,7.42,7.58,7.5,7.5,10.0,10.0,10.0,0.09,1,0,6
589,Arabica,South America,Brazil,2015-01-01,2017-04-25,Yellow Bourbon,Bluish-Green,Pulped natural / honey,7.5,7.5,7.58,7.5,7.58,7.58,10.0,10.0,10.0,0.11,2,0,1
590,Arabica,Asia,China,2015-01-01,2017-04-06,Catimor,Green,Natural / Dry,7.67,7.5,7.33,7.33,7.67,7.67,10.0,10.0,10.0,0.1,0,0,0
591,Arabica,Asia,China,2015-01-01,2017-04-05,Catimor,Green,Washed / Wet,7.5,7.67,7.42,7.67,7.5,7.5,10.0,10.0,10.0,0.11,0,0,2
592,Arabica,South America,Colombia,2014-01-01,2015-11-07,Caturra,Blue-Green,Washed / Wet,7.5,7.58,7.58,7.75,7.33,7.5,10.0,10.0,10.0,0.0,0,0,2
593,Arabica,Africa,Malawi,2014-01-01,2015-11-04,Gesha,Bluish-Green,Washed / Wet,7.75,7.58,7.42,7.5,7.33,7.5,10.0,10.0,10.0,0.12,0,0,0
594,Arabica,North America,Guatemala,2014-01-01,2015-06-16,Pacas,Green,Washed / Wet,7.75,7.42,7.25,7.75,7.5,7.67,10.0,10.0,10.0,0.13,0,0,2
595,Arabica,South America,Colombia,2014-01-01,2015-05-27,Typica,Green,Washed / Wet,7.67,7.42,7.42,7.58,7.33,7.67,10.0,10.0,10.0,0.12,0,0,0
596,Arabica,North America,United States,2013-01-01,2015-02-05,Hawaiian Kona,Blue-Green,Natural / Dry,7.67,7.58,7.42,7.83,7.33,7.5,10.0,10.0,10.0,0.1,0,6,0
597,Arabica,North America,United States,2013-01-01,2015-02-04,Hawaiian Kona,Green,Natural / Dry,7.58,7.83,7.75,7.75,7.42,8.0,9.33,9.33,10.0,0.1,0,0,0
598,Arabica,South America,Colombia,2013-01-01,2015-01-21,Caturra,Green,Washed / Wet,7.58,7.33,7.17,7.33,7.25,8.58,10.0,10.0,10.0,0.1,0,0,2
599,Arabica,North America,Mexico,2013-01-01,2014-03-29,Typica,Green,Washed / Wet,7.58,7.58,7.5,7.5,7.5,7.5,10.0,10.0,10.0,0.12,0,0,6
602,Arabica,South America,Colombia,2012-01-01,2013-04-11,Caturra,Blue-Green,Washed / Wet,7.5,7.58,7.42,7.67,7.5,7.58,10.0,10.0,10.0,0.0,0,0,0
603,Arabica,South America,Colombia,2012-01-01,2013-03-05,Caturra,Green,Washed / Wet,7.67,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,0.11,0,0,3
604,Arabica,North America,United States,2012-01-01,2013-02-22,Hawaiian Kona,Green,Washed / Wet,7.25,7.75,7.5,7.83,7.67,7.67,9.33,10.0,10.0,0.12,0,0,0
605,Arabica,North America,Panama,2012-01-01,2013-02-22,Catuai,Green,Washed / Wet,7.42,7.42,7.5,7.58,7.5,7.75,10.0,10.0,10.0,0.0,0,0,4
607,Arabica,South America,Brazil,2017-01-01,2018-10-20,Bourbon,Green,Natural / Dry,7.5,7.58,7.25,7.75,7.58,7.5,10.0,10.0,10.0,0.0,0,0,4
608,Arabica,South America,Brazil,2016-01-01,2017-08-16,Bourbon,Bluish-Green,Natural / Dry,7.5,7.58,7.5,7.67,7.5,7.42,10.0,10.0,10.0,0.11,2,0,3
609,Arabica,Asia,Laos,2015-01-01,2017-06-02,Catimor,Bluish-Green,Washed / Wet,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,0.13,0,0,0
610,Arabica,North America,El Salvador,2016-01-01,2017-03-29,Pacas,Green,Washed / Wet,7.67,7.67,7.67,7.67,7.5,7.67,10.0,10.0,9.33,0.0,0,0,7
613,Arabica,South America,Brazil,2015-01-01,2016-10-07,Yellow Bourbon,Green,Natural / Dry,7.58,7.5,7.42,7.67,7.5,7.5,10.0,10.0,10.0,0.0,0,0,0
615,Arabica,Africa,Tanzania,2014-01-01,2015-12-18,Other,Green,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.58,10.0,10.0,10.0,0.12,0,0,0
616,Arabica,Africa,Tanzania,2014-01-01,2015-12-15,Bourbon,Green,Washed / Wet,7.58,7.5,7.5,7.58,7.33,7.58,10.0,10.0,10.0,0.12,0,0,4
617,Arabica,Asia,Taiwan,2014-01-01,2015-11-23,Typica,Green,Washed / Wet,8.0,7.83,7.83,7.42,7.25,7.25,10.0,10.0,10.0,0.08,0,0,0
618,Arabica,North America,Mexico,2014-01-01,2015-08-15,Typica,Green,Natural / Dry,7.67,7.58,7.42,7.5,7.42,7.5,10.0,10.0,10.0,0.11,0,0,0
619,Arabica,Africa,Uganda,2013-01-01,2015-06-25,SL14,Green,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.5,10.0,10.0,10.0,0.12,0,0,0
620,Arabica,Asia,Taiwan,2013-01-01,2014-12-26,Typica,Green,Washed / Wet,7.67,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0
621,Arabica,Asia,Thailand,2013-01-01,2014-09-03,Caturra,Bluish-Green,Washed / Wet,7.42,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,0.11,0,0,0
622,Arabica,South America,Colombia,2012-01-01,2014-01-22,Caturra,Bluish-Green,Washed / Wet,7.75,7.58,7.67,7.25,7.58,7.42,10.0,10.0,10.0,0.11,0,0,3
624,Arabica,North America,Guatemala,2012-01-01,2013-07-17,Caturra,Green,Washed / Wet,7.67,7.67,7.17,7.67,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0
625,Arabica,Asia,Thailand,2012-01-01,2013-06-13,Other,Bluish-Green,Washed / Wet,7.83,7.33,7.83,7.33,7.58,7.83,10.0,10.0,9.33,0.12,0,0,0
633,Arabica,North America,Guatemala,2017-01-01,2018-09-08,Bourbon,Green,Washed / Wet,7.5,7.42,7.42,7.75,7.5,7.5,10.0,10.0,10.0,0.1,1,0,2
